ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik
agtc,Applied Genetic Technologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/56431592-80cf-11ea-a718-00000000092a.png,https://www.agtc.com/,B,Medium,BB,Medium,BB,Medium,235,323,305,863,16-04-2022,BB,Medium,1273636
ahco,Adapthealth Corp,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/0d255d71bb558e608b96ab76dc546dbaef93419ed054817b132789da3b0c0350.png,https://adapthealth.com/investor-relations/,B,Medium,B,Medium,B,Medium,210,211,235,656,10-06-2022,B,Medium,1725255
ahpi,Allied Healthcare Products Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/a505c155a53bb84a0c27e5a919e287f856f4a255e509bc48f499f9f73b588069.png,http://www.alliedhpi.com/,B,Medium,B,Medium,BB,Medium,210,228,325,763,16-04-2022,BB,Medium,874710
aib,AIB Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,N/A,,,B,Medium,B,Medium,BB,Medium,215,227,300,742,24-05-2022,B,Medium,1882963
adtn,ADTRAN Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,https://static.finnhub.io/logo/544d99910973b1d04b345cd611449e802ade0468588c1066ad0a5be905a80a84.png,https://www.adtran.com/,A,High,BB,Medium,BB,Medium,510,308,300,1118,16-04-2022,BBB,High,926282
adn,Advent Technologies Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/adca3c2e-80da-11ea-9ab0-00000000092a.png,http://amciacquisition.com/,B,Medium,B,Medium,B,Medium,250,203,220,673,20-04-2022,B,Medium,1744494
aiki,Aikido Pharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/b16fc664-80e0-11ea-9b8a-00000000092a.png,https://aikidopharma.com/,B,Medium,B,Medium,B,Medium,200,235,205,640,10-06-2022,B,Medium,12239
akic,Sports Ventures Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,N/A,,,B,Medium,B,Medium,B,Medium,200,205,230,635,11-06-2022,B,Medium,1826574
aip,Arteris Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/6429ccca605b3faa9498cbbc2727b1c4fb8e3c24e577855ff8bf45eeff7d21b2.png,https://www.arteris.com/,A,High,B,Medium,BB,Medium,500,286,300,1086,07-06-2022,BBB,High,1667011
akro,Akero Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/5ac79f50-80da-11ea-8fee-00000000092a.png,https://www.akerotx.com/,B,Medium,B,Medium,BB,Medium,250,246,305,801,10-06-2022,BB,Medium,1744659
airt,Air T Inc,USD,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,https://static.finnhub.io/logo/9e54807a-80df-11ea-9dbf-00000000092a.png,http://www.airt.net/,B,Medium,B,Medium,BB,Medium,234,210,325,769,16-04-2022,BB,Medium,353184
aimc,Altra Industrial Motion Corp,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,https://static.finnhub.io/logo/9da7f902-80df-11ea-b5a0-00000000092a.png,https://www.altramotion.com/,A,High,BB,Medium,BB,Medium,525,315,305,1145,16-04-2022,BBB,High,1374535
akba,Akebia Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/7d6670f8-80cf-11ea-aab1-00000000092a.png,https://akebia.com/,B,Medium,B,Medium,B,Medium,200,218,215,633,16-04-2022,B,Medium,1517022
airg,Airgain Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/ff72eaca-80db-11ea-a64a-00000000092a.png,http://www.airgain.com/,A,High,BB,Medium,BB,Medium,500,300,330,1130,16-04-2022,BBB,High,1272842
airs,Airsculpt Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/e5484b255e157a1ac5f11571a56a7a14e23cb71d6cf02440a54c447cae42e82a.png,https://elitebodysculpture.com/,B,Medium,B,Medium,B,Medium,210,201,205,616,11-06-2022,B,Medium,1870940
akam,Akamai Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/0982f80bff901e6c53bbeda92444bf52ccfe7fb4b559716e0e2bc14037d6ca3f.png,https://www.akamai.com/,A,High,BB,Medium,BB,Medium,515,341,305,1161,16-04-2022,BBB,High,1086222
aku,Akumin Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/60c47c38-80db-11ea-aa7b-00000000092a.png,https://www.akumin.com,BBB,High,BB,Medium,BB,Medium,455,347,300,1102,21-04-2022,BBB,High,1776197
akus,Akouos Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/a33692c919e7f03a35025ca5873e5f14ee8f53cd5bc190cd22d677f58ceaf538.png,https://akouos.com/,B,Medium,B,Medium,B,Medium,205,221,295,721,10-06-2022,B,Medium,1722271
akts,Akoustis Technologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/c87e2de6-80db-11ea-b469-00000000092a.png,https://ir.akoustis.com/,B,Medium,BB,Medium,BBB,High,222,302,428,952,16-04-2022,BBB,High,1584754
aktx,Akari Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/6566bacc-80cf-11ea-a49e-00000000092a.png,http://akaritx.com/,B,Medium,B,Medium,BB,Medium,225,216,305,746,16-04-2022,B,Medium,1541157
albo,Albireo Pharma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/b888b486-80df-11ea-bc00-00000000092a.png,https://albireopharma.com/,A,High,BB,Medium,BB,Medium,500,300,310,1110,10-06-2022,BBB,High,1322505
akya,Akoya Biosciences Inc,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,https://static.finnhub.io/logo/ebaa6db90afb3fd57e3402e38731e2ac663ddb7015f44ae0c020a525a4e80832.png,https://www.akoyabio.com/,A,High,BB,Medium,B,Medium,512,303,215,1030,10-06-2022,BBB,High,1711933
alco,Alico Inc,USD,NASDAQ NMS - GLOBAL MARKET,Food Products,https://static.finnhub.io/logo/95b11e40-80df-11ea-8e03-00000000092a.png,https://www.alicoinc.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,16-04-2022,BBB,High,3545
aldx,Aldeyra Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/4b4f9dba-80cf-11ea-87c6-00000000092a.png,https://www.aldeyra.com/,B,Medium,B,Medium,B,Medium,231,261,235,727,16-04-2022,B,Medium,1341235
alec,Alector Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/871e51b8-80da-11ea-b167-00000000092a.png,https://alector.com,B,Medium,B,Medium,BB,Medium,240,277,300,817,10-06-2022,BB,Medium,1653087
algm,Allegro Microsystems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/20eb4170e5f97f9a34699f366ad26aa5e0bcc1b90d5ba7ceca4d2ea325c798dc.png,https://www.allegromicro.com/en,A,High,BB,Medium,B,Medium,542,314,250,1106,10-06-2022,BBB,High,866291
alf,Alfi Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/954cad65a4d7e526ef98b990ffa89eaef29832cb3309ee729758201a938bb326.png,https://www.getalfi.com/,B,Medium,B,Medium,BB,Medium,225,260,315,800,11-06-2022,BB,Medium,1833908
algn,Align Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static4.finnhub.io/file/publicdatany2/stock_logo/ALGN_4295900190.png,https://www.aligntech.com/,B,Medium,B,Medium,B,Medium,235,285,255,775,16-04-2022,BB,Medium,1097149
algs,Aligos Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/6b5a2554225d2f95a883cfe8cf08836e3f393f6b9ba4ee3a8276ca38e48f43ae.png,https://www.aligos.com/,B,Medium,B,Medium,B,Medium,210,222,235,667,10-06-2022,B,Medium,1799448
alhc,Alignment Healthcare LLC,USD,NASDAQ NMS - GLOBAL MARKET,N/A,https://static.finnhub.io/logo/de5dbbf80fc814b921a6c8c5dbf9419a4bf46742aaa0f34752661418ffaa4158.png,https://www.alignmenthealthcare.com,B,Medium,BB,Medium,B,Medium,210,302,256,768,10-06-2022,BB,Medium,1832466
alks,Alkermes Plc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/9187a488-80df-11ea-8157-00000000092a.png,http://www.alkermes.com/,BBB,High,BB,Medium,BB,Medium,415,302,333,1050,16-04-2022,BBB,High,1520262
alim,Alimera Sciences Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,https://static.finnhub.io/logo/911aa6ee-8100-11ea-ae7f-00000000092a.png,http://www.alimerasciences.com/,B,Medium,B,Medium,B,Medium,220,228,243,691,16-04-2022,B,Medium,1267602
algt,Allegiant Travel Co,USD,NASDAQ NMS - GLOBAL MARKET,Airlines,https://static.finnhub.io/logo/8f1d001c-80df-11ea-9290-00000000092a.png,https://www.allegiantair.com/,B,Medium,B,Medium,B,Medium,287,208,248,743,16-04-2022,B,Medium,1362468
aih,Aesthetic Medical International Holdings Group Ltd,CNY,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/697bd3e4-81d2-11ea-8587-00000000092a.png,http://www.pengai.com.cn,B,Medium,B,Medium,BB,Medium,220,250,300,770,10-06-2022,BB,Medium,1757143
alkt,Alkami Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/4d26995d74a0ad752eb680076961f46e4e33333cf4615fa33aeb2e0789a1971e.png,https://www.alkami.com/,B,Medium,BB,Medium,B,Medium,280,305,260,845,10-06-2022,BB,Medium,1529274
alny,Alnylam Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/f84d39ef1ff5def1044225ef2ea4a1ed1f2deca8bc5d338574d2991c88959b10.png,https://www.alnylam.com/,BB,Medium,BB,Medium,BB,Medium,331,346,325,1002,16-04-2022,BBB,High,1178670
allt,Allot Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/9564945e-80df-11ea-9144-00000000092a.png,https://www.allot.com,A,High,BB,Medium,BB,Medium,508,324,310,1142,16-04-2022,BBB,High,1365767
allo,Allogene Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/c257caf6-80da-11ea-8622-00000000092a.png,https://allogene.com/,A,High,BB,Medium,BB,Medium,535,324,305,1164,10-06-2022,BBB,High,1737287
amat,Applied Materials Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/907771b0-80df-11ea-848b-00000000092a.png,https://www.appliedmaterials.com/,A,High,BB,Medium,BB,Medium,525,317,300,1142,16-04-2022,BBB,High,6951
amd,Advanced Micro Devices Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AMD_4295903297.jpeg,https://www.amd.com/en,B,Medium,B,Medium,B,Medium,200,208,200,608,16-04-2022,B,Medium,2488
atvi,Activision Blizzard Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/74116cec-80fc-11ea-bc98-00000000092a.png,https://www.activisionblizzard.com/,B,Medium,BB,Medium,BB,Medium,280,347,330,957,16-04-2022,BBB,High,718877
avgo,Broadcom Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/8ef67930-80d3-11ea-abb0-00000000092a.png,https://www.broadcom.com,B,Medium,B,Medium,B,Medium,210,212,200,622,16-04-2022,B,Medium,1730168
anss,ANSYS Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/6edb83c2-826a-11ea-9332-00000000092a.png,https://www.ansys.com/,A,High,BB,Medium,B,Medium,580,337,285,1202,16-04-2022,A,High,1013462
amzn,Amazon.com Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static.finnhub.io/logo/967bf7b0-80df-11ea-abb4-00000000092a.png,https://www.amazon.com/,AA,Excellent,BB,Medium,BBB,High,668,305,460,1433,16-04-2022,A,High,1018724
aihs,Senmiao Technology Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/86ea906d08d7e5c73068d922de5ea0f69468758c41e6c219d1238ddb022b5193.png,https://www.ihongsen.com,B,Medium,B,Medium,B,Medium,220,203,200,623,10-06-2022,B,Medium,1711012
apa,APA Corp (US),USD,NASDAQ NMS - GLOBAL MARKET,Energy,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/5080022433.png,https://apacorp.com/,A,High,BB,Medium,BB,Medium,510,316,325,1151,16-04-2022,BBB,High,1841666
biib,Biogen Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/4eb95aee-80e0-11ea-a580-00000000092a.png,https://www.biogen.com/,BB,Medium,BB,Medium,BB,Medium,380,303,364,1047,16-04-2022,BBB,High,875045
bkng,Booking Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static.finnhub.io/logo/a8fcd262-80e0-11ea-9907-00000000092a.png,https://www.bookingholdings.com/,A,High,BB,Medium,BB,Medium,558,306,310,1174,10-06-2022,BBB,High,1075531
cdns,Cadence Design Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/bbbf4280-80df-11ea-834e-00000000092a.png,https://www.cadence.com/,A,High,BB,Medium,B,Medium,500,308,295,1103,16-04-2022,BBB,High,813672
cdw,CDW Corp,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/4c3802e76baf7914df0324fcd9bfd1c05c835a803751266262cf9f14022ecf4c.png,https://www.cdw.com/,B,Medium,B,Medium,B,Medium,225,209,200,634,16-04-2022,B,Medium,1402057
chrw,CH Robinson Worldwide Inc,USD,NASDAQ NMS - GLOBAL MARKET,Logistics and Transportation,https://static.finnhub.io/logo/390745f6-80e0-11ea-8529-00000000092a.png,https://www.chrobinson.com/,A,High,BB,Medium,BB,Medium,575,330,338,1243,16-04-2022,A,High,1043277
cinf,Cincinnati Financial Corp,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/78f04730-80e0-11ea-9b3b-00000000092a.png,https://www.cinfin.com/,B,Medium,B,Medium,B,Medium,235,275,250,760,16-04-2022,BB,Medium,20286
chtr,Charter Communications Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/ac65393a-80c9-11ea-a42d-00000000092a.png,https://corporate.charter.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,16-04-2022,BBB,High,1091667
cmcsa,Comcast Corp,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/9f50b602-826a-11ea-855c-00000000092a.png,https://corporate.comcast.com/,A,High,BB,Medium,BB,Medium,507,343,315,1165,16-04-2022,BBB,High,1166691
cprt,Copart Inc,USD,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,https://static.finnhub.io/logo/c1ae2adc-80df-11ea-997f-00000000092a.png,https://www.copart.com/,B,Medium,B,Medium,B,Medium,270,204,205,679,16-04-2022,B,Medium,900075
cost,Costco Wholesale Corp,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/COST_4295912987.png,https://www.costco.com/,A,High,BB,Medium,B,Medium,537,306,225,1068,16-04-2022,BBB,High,909832
csx,CSX Corp,USD,NASDAQ NMS - GLOBAL MARKET,Road and Rail,https://static.finnhub.io/logo/b034979a-80eb-11ea-b0c3-00000000092a.png,https://www.csx.com/,A,High,BB,Medium,BB,Medium,510,310,325,1145,17-04-2022,BBB,High,277948
ctsh,Cognizant Technology Solutions Corp,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/cad080be-80df-11ea-8b33-00000000092a.png,https://www.cognizant.com/,AA,Excellent,BB,Medium,BB,Medium,605,365,300,1270,16-04-2022,A,High,1058290
cme,CME Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/121b709a86980d7eb8db8589918a76d3db9e4e428b05857011dbd8957fd059bf.png,https://www.cmegroup.com/,BB,Medium,B,Medium,B,Medium,375,237,200,812,26-07-2022,BB,Medium,1156375
csco,Cisco Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Communications,https://static.finnhub.io/logo/ca223cac-80df-11ea-a99c-00000000092a.png,https://www.cisco.com/,B,Medium,B,Medium,B,Medium,280,234,220,734,11-06-2022,B,Medium,858877
ctas,Cintas Corp,USD,NASDAQ NMS - GLOBAL MARKET,Commercial Services and Supplies,https://static.finnhub.io/logo/cb889e02-80df-11ea-80b6-00000000092a.png,https://www.cintas.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,16-04-2022,BBB,High,723254
ctxs,Citrix Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/ceb2199a-80df-11ea-af9f-00000000092a.png,https://www.citrix.com/,A,High,BB,Medium,BB,Medium,530,305,305,1140,16-04-2022,BBB,High,877890
czr,Caesars Entertainment Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static.finnhub.io/logo/45d618da-80cc-11ea-884e-00000000092a.png,https://www.caesars.com/,B,Medium,B,Medium,B,Medium,265,228,200,693,16-04-2022,B,Medium,1590895
dish,DISH Network Corp,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/c9b0175c-80df-11ea-a0ec-00000000092a.png,https://ir.dish.com/,B,Medium,B,Medium,B,Medium,210,263,205,678,17-04-2022,B,Medium,1001082
dltr,Dollar Tree Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static.finnhub.io/logo/d277a94a-80df-11ea-8f0a-00000000092a.png,https://www.dollartree.com/,B,Medium,B,Medium,B,Medium,235,208,215,658,17-04-2022,B,Medium,935703
dxcm,Dexcom Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/fb3c517a-80df-11ea-a0a0-00000000092a.png,https://www.dexcom.com/,B,Medium,B,Medium,B,Medium,215,236,215,666,17-04-2022,B,Medium,1093557
ea,Electronic Arts Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/556815ac-80e0-11ea-bb14-00000000092a.png,https://www.ea.com/,BB,Medium,BB,Medium,B,Medium,360,300,225,885,17-04-2022,BB,Medium,712515
lnt,Alliant Energy Corp,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,https://static.finnhub.io/logo/1981fcae-80ec-11ea-a4b8-00000000092a.png,https://www.alliantenergy.com/,A,High,BB,Medium,BB,Medium,519,307,300,1126,16-04-2022,BBB,High,352541
fang,Diamondback Energy Inc,USD,NASDAQ NMS - GLOBAL MARKET,Energy,https://static.finnhub.io/logo/fe1ab98ccc6f7867a191970f03152cff56846b7811399704b9d4be280d895b5b.png,https://ir.diamondbackenergy.com/,A,High,B,Medium,BB,Medium,513,271,300,1084,17-04-2022,BBB,High,1539838
ebay,eBay Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static.finnhub.io/logo/919a6270-826a-11ea-abe9-00000000092a.png,https://www.ebayinc.com/,A,High,BB,Medium,BB,Medium,500,302,305,1107,17-04-2022,BBB,High,1065088
lkq,LKQ Corp,USD,NASDAQ NMS - GLOBAL MARKET,Distributors,https://static.finnhub.io/logo/0846719a1ab7311db60cef58b6985f4e9269ceb9eaf89e63efc354b2188280a1.png,https://www.lkqcorp.com/,A,High,BB,Medium,BB,Medium,515,300,305,1120,18-04-2022,BBB,High,1065696
googl,Alphabet Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GOOGL.png,https://abc.xyz/,B,Medium,BB,Medium,BB,Medium,295,362,355,1012,30-04-2022,BBB,High,1652044
mar,Marriott International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,https://static.finnhub.io/logo/1f7dc93a-80ec-11ea-a5dc-00000000092a.png,https://www.marriott.com/,B,Medium,B,Medium,B,Medium,215,200,215,630,18-04-2022,B,Medium,1048286
mchp,Microchip Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/35e836b8-80e0-11ea-855a-00000000092a.png,https://www.microchip.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,18-04-2022,BBB,High,827054
lrcx,Lam Research Corp,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/b05d9f52-80e0-11ea-8823-00000000092a.png,https://www.lamresearch.com/,A,High,BB,Medium,BB,Medium,510,325,315,1150,18-04-2022,BBB,High,707549
mdlz,Mondelez International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Food Products,https://static.finnhub.io/logo/10b5dc9a-80ec-11ea-897a-00000000092a.png,https://www.mondelezinternational.com/,A,High,BB,Medium,BB,Medium,520,307,300,1127,18-04-2022,BBB,High,1103982
meta,Meta Platforms Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/FB.png,https://www.facebook.com,B,Medium,B,Medium,B,Medium,205,232,215,652,22-04-2022,B,Medium,1326801
mktx,Marketaxess Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/4a309d80-80e1-11ea-8514-00000000092a.png,https://www.marketaxess.com/,B,Medium,B,Medium,B,Medium,230,213,210,653,18-04-2022,B,Medium,1278021
mnst,Monster Beverage Corp,USD,NASDAQ NMS - GLOBAL MARKET,Beverages,https://static.finnhub.io/logo/18126d0c-80e0-11ea-a414-00000000092a.png,http://monsterbevcorp.com/,A,High,BB,Medium,BB,Medium,515,344,300,1159,18-04-2022,BBB,High,865752
mrna,Moderna Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/a024deee-80da-11ea-9046-00000000092a.png,https://www.modernatx.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,18-04-2022,BBB,High,1682852
mtch,Match Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/4295908221.png,https://www.mtch.com/,B,Medium,BB,Medium,BB,Medium,245,389,311,945,18-04-2022,BBB,High,891103
mpwr,Monolithic Power Systems Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/3ec1921c-80e1-11ea-b9d8-00000000092a.png,https://www.monolithicpower.com/,BB,Medium,B,Medium,B,Medium,330,287,235,852,18-04-2022,BB,Medium,1280452
msft,Microsoft Corp,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/25e313016e9fac0f4b78bbd7e3afded45a8136b17f450c262aea14beed438191.png,https://www.microsoft.com/en-us,AA,Excellent,BBB,High,BB,Medium,715,443,375,1533,27-04-2022,A,High,789019
mu,Micron Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/33e8930c-80ec-11ea-a30a-00000000092a.png,https://www.micron.com/,A,High,BB,Medium,BB,Medium,530,330,300,1160,18-04-2022,BBB,High,723125
ndaq,Nasdaq Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NDAQ_8589934167.png,https://www.nasdaq.com/,A,High,BB,Medium,BB,Medium,505,310,300,1115,18-04-2022,BBB,High,1120193
nlok,NortonLifeLock Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/a14f7054-80e0-11ea-8378-00000000092a.png,https://www.nortonlifelock.com/,A,High,BB,Medium,BB,Medium,505,315,305,1125,10-06-2022,BBB,High,849399
ntrs,Northern Trust Corp,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/729a6714ac01ab49a6f558cdeaf2d29037d313f87e6acd4af638a8152a23b9fc.png,https://www.northerntrust.com/united-states/,B,Medium,B,Medium,B,Medium,250,226,225,701,18-04-2022,B,Medium,73124
nwl,Newell Brands Inc,USD,NASDAQ NMS - GLOBAL MARKET,Consumer products,https://static.finnhub.io/logo/43c3da30-80ec-11ea-a6ea-00000000092a.png,https://www.newellbrands.com/,A,High,BB,Medium,BB,Medium,525,303,315,1143,18-04-2022,BBB,High,814453
nvda,NVIDIA Corp,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NVDA.png,https://www.nvidia.com/,BB,Medium,BB,Medium,B,Medium,323,301,275,899,18-04-2022,BB,Medium,1045810
allk,Allakos Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/7358df46-81d5-11ea-b3b3-00000000092a.png,http://www.allakos.com/,B,Medium,B,Medium,BB,Medium,200,273,300,773,10-06-2022,BB,Medium,1564824
nwsa,News Corp,USD,NASDAQ NMS - GLOBAL MARKET,Media,https://static.finnhub.io/logo/38632848-80ce-11ea-a34f-00000000092a.png,https://newscorp.com/,A,High,BB,Medium,BB,Medium,509,300,300,1109,18-04-2022,BBB,High,1564708
odfl,Old Dominion Freight Line Inc,USD,NASDAQ NMS - GLOBAL MARKET,Road and Rail,https://static.finnhub.io/logo/8b7ba59a51614579f97c95184c2a54ab36d44842d9bf5350e077217523059382.png,https://www.odfl.com/,BBB,High,BBB,High,B,Medium,467,423,280,1170,18-04-2022,BBB,High,878927
pcar,Paccar Inc,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,https://static4.finnhub.io/file/publicdatany2/stock_logo/PCAR_4295907525.jpg,https://www.paccar.com/,A,High,BB,Medium,BB,Medium,568,343,305,1216,18-04-2022,A,High,75362
nxpi,NXP Semiconductors NV,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,https://static.finnhub.io/logo/86154d10-80c9-11ea-9926-00000000092a.png,https://www.nxp.com/,A,High,BB,Medium,BB,Medium,505,329,305,1139,18-04-2022,BBB,High,1413447
orly,O'Reilly Automotive Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,https://static.finnhub.io/logo/e7e4dff0-826a-11ea-8801-00000000092a.png,https://corporate.oreillyauto.com/corporate/,A,High,BB,Medium,BB,Medium,500,300,300,1100,18-04-2022,BBB,High,898173
payx,Paychex Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/acaa8fac-80e0-11ea-9d58-00000000092a.png,https://www.paychex.com/,A,High,BB,Medium,B,Medium,500,300,200,1000,26-07-2022,BBB,High,723531
pfg,Principal Financial Group Inc,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,https://static.finnhub.io/logo/52a59ab6-80ec-11ea-b750-00000000092a.png,https://www.principal.com/,A,High,BB,Medium,BB,Medium,555,320,300,1175,18-04-2022,BBB,High,1126328
